state,year,cigs
VA,2000,96.7
VT,1970,122.6
VT,1971,124.4
VT,1972,138
VT,1973,146.8
VT,1974,151.8
VT,1975,155.5
VT,1976,171.1
VT,1977,169.4
VT,1978,162.4
VT,1979,160.9
VT,1980,161.6
VT,1981,163.8
VT,1982,162.3
VT,1983,153.8
VT,1984,144.3
VT,1985,144.5
VT,1986,131.2
VT,1987,128.3
VT,1988,128.7
VT,1989,120.9
VT,1990,124.3
VT,1991,120.9
VT,1992,126.5
VT,1993,117.2
VT,1994,120.3
VT,1995,123.2
VT,1996,102.5
VT,1997,97.7
VT,1998,97
VT,1999,94.1
VT,2000,88.9
WA,1970,96.7
WA,1971,97
WA,1972,88.5
WA,1973,91
WA,1974,98.6
WA,1975,99.5
WA,1976,100.3
WA,1977,99.3
WA,1978,101.3
WA,1979,101.4
WA,1980,101.4
WA,1981,112.7
WA,1982,106.6
WA,1983,102.4
WA,1984,96.2
WA,1985,96.5
WA,1986,94.2
WA,1987,91.3
WA,1988,88.2
WA,1989,86.1
WA,1990,83.4
WA,1991,78.7
WA,1992,81.1
WA,1993,79.4
WA,1994,72.6
WA,1995,67.4
WA,1996,58.1
WA,1997,55.6
WA,1998,56.4
WA,1999,55.1
WA,2000,52.8
WI,1970,106.4
WI,1971,105.4
WI,1972,108.8
WI,1973,109.5
WI,1974,111.8
WI,1975,113.5
WI,1976,115.4
WI,1977,117.2
WI,1978,116.7
WI,1979,117.1
WI,1980,117.6
WI,1981,119.9
WI,1982,115.6
WI,1983,106.3
WI,1984,105.6
WI,1985,107
WI,1986,105.4
WI,1987,106
WI,1988,102.6
WI,1989,100.3
WI,1990,94.1
WI,1991,95.5
WI,1992,96.2
WI,1993,91.2
WI,1994,91.8
WI,1995,93.5
WI,1996,92.1
WI,1997,91.9
WI,1998,88.7
WI,1999,84.4
WI,2000,80.1
WV,1970,114.5
WV,1971,111.5
WV,1972,117.5
WV,1973,116.6
WV,1974,119.9
WV,1975,123.2
WV,1976,129.7
WV,1977,133.9
WV,1978,131.6
WV,1979,122.1
WV,1980,122.3
WV,1981,120.5
WV,1982,119.8
WV,1983,115.7
WV,1984,111.9
WV,1985,109.1
WV,1986,112.1
WV,1987,107.5
WV,1988,109.1
WV,1989,104
WV,1990,104.1
WV,1991,100.1
WV,1992,98
WV,1993,111
WV,1994,104.2
WV,1995,115.8
WV,1996,112.7
WV,1997,114.5
WV,1998,114.6
WV,1999,112.4
WV,2000,107.9
WY,1970,132.2
WY,1971,131.7
WY,1972,140
WY,1973,141.2
WY,1974,145.8
WY,1975,160.7
WY,1976,161.5
WY,1977,160.4
WY,1978,160.3
WY,1979,168.6
WY,1980,158.1
WY,1981,163.1
WY,1982,157.7
WY,1983,141.2
WY,1984,128.9
WY,1985,125.7
WY,1986,124.8
WY,1987,110.4
WY,1988,114.3
WY,1989,111.4
WY,1990,96.9
WY,1991,109.1
WY,1992,110.8
WY,1993,108.4
WY,1994,111.2
WY,1995,115
WY,1996,110.3
WY,1997,108.8
WY,1998,102.9
WY,1999,104.8
WY,2000,90.5
