LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder
NM,New Mexico,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.417,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.27,$,Dollars,"(41.708280193, -71.522470314)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
GA,Georgia,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.12,$,Dollars,"(32.839681093, -83.627580346)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
RI,Rhode Island,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,9.873,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"80,242,820",$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
ND,North Dakota,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),121.3,,Pack,"(47.475319779, -100.118421049)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
NJ,New Jersey,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),81,,Pack,"(40.130570048, -74.273691288)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
CO,Colorado,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.59,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MA,Massachusetts,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.42,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
VT,Vermont,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,47.5,%,Percentage,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
RI,Rhode Island,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"112,352,300",$,Dollars,"(41.708280193, -71.522470314)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
MI,Michigan,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"245,818,000",$,Dollars,"(44.661319543001, -84.71439027)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
NJ,New Jersey,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.27,$,Dollars,"(40.130570048, -74.273691288)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
IL,Illinois,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"485,040,692",$,Dollars,"(40.485010283, -88.997710178)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
WY,Wyoming,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.61,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
TN,Tennessee,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),109.7,,Pack,"(35.68094058, -85.774490914)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
WY,Wyoming,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,23.5,%,Percentage,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NM,New Mexico,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.641,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.586,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.26,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MA,Massachusetts,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),124.3,,Pack,"(42.27687047, -72.082690675)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
SD,South Dakota,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),93,,Pack,"(44.353130053, -100.373530637)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
GA,Georgia,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.2,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
GA,Georgia,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.37,$,Dollars,"(32.839681093, -83.627580346)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
CO,Colorado,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.311,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NM,New Mexico,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.12,$,Dollars,"(34.520880952, -106.240580985)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
AL,Alabama,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.12,$,Dollars,"(32.840571122, -86.631860762)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
MT,Montana,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"10,343,716",$,Dollars,"(47.066528972, -109.424420645)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
NV,Nevada,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.23,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"272,021,000",$,Dollars,"(37.638640123, -120.999999538)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
GA,Georgia,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),83.1,,Pack,"(32.839681093, -83.627580346)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
CA,California,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.1,$,Dollars,"(37.638640123, -120.999999538)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
WA,Washington,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,50.5,%,Percentage,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
FL,Florida,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.663,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NY,New York,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.49,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MS,Mississippi,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"46,499,885",$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
GA,Georgia,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"86,697,410",$,Dollars,"(32.839681093, -83.627580346)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
AL,Alabama,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),102.9,,Pack,"(32.840571122, -86.631860762)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
DC,District of Columbia,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.121,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
UT,Utah,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.862,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"50,497,361",$,Dollars,"(34.86597028, -111.763811277)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
WI,Wisconsin,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,54.7,%,Percentage,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NH,New Hampshire,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"24,229,304",$,Dollars,"(43.655950113, -71.50036092)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
IA,Iowa,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,22.5,%,Percentage,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NV,Nevada,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,28.4,%,Percentage,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
KS,Kansas,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,36.1,%,Percentage,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NH,New Hampshire,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,45.8,%,Percentage,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
TN,Tennessee,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.21,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
HI,Hawaii,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.605,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NH,New Hampshire,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.67,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.2,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NY,New York,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"339,178,000",$,Dollars,"(42.827001032, -75.543970427)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
TX,Texas,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.65,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
HI,Hawaii,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,4.21,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
IN,Indiana,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.155,$,Dollars,"(39.766910452, -86.149960194)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
MN,Minnesota,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,3.59,$,Dollars,"(46.355648736, -94.794200503)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
IL,Illinois,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.2,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
OH,Ohio,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,1.25,$,Dollars,"(40.060210141, -82.404260056)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
WA,Washington,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.31,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
AL,Alabama,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.165,$,Dollars,"(32.840571122, -86.631860762)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
RI,Rhode Island,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),134.4,,Pack,"(41.708280193, -71.522470314)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
KS,Kansas,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"100,798,776",$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
KY,Kentucky,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,15.1,%,Percentage,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NH,New Hampshire,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.878,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.22,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
TX,Texas,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"355,496,360",$,Dollars,"(31.827240407, -99.426770206)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
OH,Ohio,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.14,$,Dollars,"(40.060210141, -82.404260056)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
CA,California,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.419,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.673,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
LA,Louisiana,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"91,292,885",$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
ND,North Dakota,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.19,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
WV,West Virginia,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.17,$,Dollars,"(38.665510202, -80.712640135)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
LA,Louisiana,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.37,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
CA,California,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.59,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
WI,Wisconsin,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.951,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VT,Vermont,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,3.25,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NM,New Mexico,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"17,793,231",$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
CA,California,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,30.5,%,Percentage,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
RI,Rhode Island,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),149.3,,Pack,"(41.708280193, -71.522470314)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
IN,Indiana,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.555,$,Dollars,"(39.766910452, -86.149960194)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
CO,Colorado,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,43.2,%,Percentage,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
MT,Montana,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,43.8,%,Percentage,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
ND,North Dakota,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"7,779,886",$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
MI,Michigan,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.99,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NY,New York,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.23,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NM,New Mexico,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"16,441,366",$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
MA,Massachusetts,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.909,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),119.8,,Pack,"(32.839681093, -83.627580346)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
ND,North Dakota,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.552,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),83.1,,Pack,"(41.708280193, -71.522470314)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
WI,Wisconsin,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),102.6,,Pack,"(44.393191174, -89.816370742)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
VT,Vermont,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,33.8,%,Percentage,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
MD,Maryland,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),72,,Pack,"(39.290580964, -76.609260111)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
MT,Montana,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.12,$,Dollars,"(47.066528972, -109.424420645)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
OR,Oregon,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.27,$,Dollars,"(44.567449424, -120.155031326)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
IA,Iowa,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),93,,Pack,"(42.469400913, -93.816490556)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
CO,Colorado,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.84,$,Dollars,"(38.843840757, -106.133610921)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
AL,Alabama,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"47,956,285",$,Dollars,"(32.840571122, -86.631860762)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
VA,Virginia,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),133,,Pack,"(37.542680674, -78.457890463)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
AR,Arkansas,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.315,$,Dollars,"(34.748650124, -92.274490743)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
ID,Idaho,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.58,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
DC,District of Columbia,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),117.2,,Pack,"(38.890371385, -77.031961127)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
MI,Michigan,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,2.39,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
ME,Maine,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),119,,Pack,"(45.254228894001, -68.985031336)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
VA,Virginia,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.218,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DE,Delaware,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,42.6,%,Percentage,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
AZ,Arizona,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.31,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
AR,Arkansas,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"62,733,844",$,Dollars,"(34.748650124, -92.274490743)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
IA,Iowa,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.6,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
