"treat","text","prison"
1,"This person should either be sent to prison then deported or deported. American immigration law should allow people wanting to immigrate for work or family or a better life, not to commit violent crimes. It is my opinion that immigrants who commit violent crimes should be deported and not allowed to enter the U.S. again.","Yes"
1,"The man has served time for a violent offense in the past. He has displayed a pattern of criminal behavior and will likely continue to do so if he was released. He has been deported before and is back in the country illegally again, so I see no other option. ","Yes"
0,"They have no record. Let them stay.","No"
0,"No he should not be put in jail. He should just be made to go home and showed how to come here properly next time and be grounded from coming back for like 90 days or something.","No"
1,"I don't think the US government needs to get involved but I do feel this person needs to serve for the crime committed.  That should go for anyone that gets caught in a crime, regardless if they are from the US or not.  I don't feel they need to be deported but serving time is being fair.","Yes"
0,"It needs to be determined the reason for entering the country illegally. Even though he has never been imprisoned before, it is important to take the action seriously and check if there had been any prior attempts to enter or similar offenses.","Don‰Ûªt Know"
1,"They should be deported, not imprisoned","No"
0,"No he should not go to prison because he doesn't have a prior record and his only crime is entering the United States illegally. He should be allowed to stay in the United States and try to make a life for himself as long as he follows the law.","No"
0,"I believe that the offense of illegally entering the United States should be a misdemeanor to be paid with a fine.  Furthermore, to make it a felony or an 'exportable' offense is something that is decidedly the opposite of American values.  We should be welcoming people who are not committing crimes and make a way to allow them to enter our society legally.  Perhaps instead of a 'green' card they could be given a 'blue' card or something that says, hey, their on their way to earning citizenship. ","No"
0,"The person has not committed any other crime except for crossing the border and does not appear to be any kind of a threat to the security of the country entered. The person should be detained and then deported back to the country of origin. There should not be any prison time given to the individual.","No"
1,"its either go back to your country if you have a bad reputation or go in and do things right","Yes"
0,"I don't think he should be put in prison.  He should be referred to immigration for investigation.  If he is from a country that would put his life in danger if he returned to it, possibly he should be granted asylum.  It's complicated.  If he is from a country where he would be safe if he returned to it, he should be deported back to it.","No"
0,"The U.S. government should simply deport him.  Why should we pay for the prison expense of a non-US citizen?","No"
0,"There are easy and proper ways to enter the United States, finding them and applying for them to become a natural citizen should be immigrants priorities. Often coming in illegally, and not knowing our laws results in penalties/fines/jail time. If they want to come over let them, but do so legally and properly with paperwork and courses to become an American.","Yes"
0,"He has no history of violence. He would be criminalized in prison.","No"
0,"All this gentleman did was cross the border illegally, he did not commit any other crime that would put him in our jails. If he was sent to a U.S. prison, Americans would have to pay taxes to keep him there. I believe this individual should be given a chance to start the application to become a legal citizen within x amount of days or be deported.","No"
0,"He should be sent back to his country rather than being imprisoned here and wasting our tax dollars on him. The U.S. government should see why he came here also and what country he came from.","No"
0,"If he has never been imprisoned and isn't on any terrorism watch list, he should be offered the option and a path to become a legal immigrant if he wishes to live here.  If not, then he should be sent back to his country of origin.","No"
0,"He entered the country illegally and thus should be punished, however, he should not go to prison.  Instead he should be deported d back to his country.  Going to prison is only going to cause taxpayers dollars being spent unnecessarily and. It for the citizens.  Prison is going to cost citizens money.","No"
0,"They should simply be deported. They have never committed another crime, and their actions were not violent. This is simply a minor violation","No"
1,"I think that this man should be sent to prison because he broke the law. He has already been deported for other crimes, if he stays he might do more crimes.","Yes"
1,"This man shouldn't be hosted in a US prison at taxpayer expense. He should be deported again to his home country as he rightly was before.","No"
0,"He came to the United States illegally while thousands of other go through the process. He should be imprisoned and sent back to his country.","Yes"
1,"I believe he is likely to commit a serious crime again. He should be deported, and sent out of the country. He is a detriment to our country.","Yes"
1,"He should be sent back to his home country. If he goes to prison his trial, food, healthcare and lodging will be paid with taxpayers dollars. It's bad enough we have to pay for legal citizens to stay in prison, we should not have to pay for illegal immigrants as well, the burden is already great.","No"
1,"The person should serve a prison sentence to pay for his crime. He clearly does not respect the laws of our country so he should receive and serve a harsher sentence before deportation. His previous offenses, especially with one of them being a violent crime, make him a dangerous person. DNA and finger prints should also be obtained and kept on record.","Yes"
0,"Sometimes people are looking for  a better life. They want to live happier and be happier.","Don‰Ûªt Know"
1,"He should be put in prison. He is an illegal and can not keep out of trouble. This just add to the crime rate in the United States.","Yes"
1,"The U.S. government should send the offender back to his home country where he should be sentenced to prison for disobeying the law.","Yes"
1,"Yes, because he's a past criminal and he clearly hasn't learned his lesson since he was already deported so simply deporting him isn't enough.","Yes"
0,"The person broke the law plain and simple. These laws are in place for a reason and we need to enforce them.","Yes"
0,"I don't think our already inundated prison system needs additional residents especially those who were not acting in a way that they would be dangerous to society, however, they did break the law and should be held to account for their actions. They should be sent to their country of origin and lose the right to be allowed to enter legally for a certain period. I think this is fair. Our laws need respected. What kind of sovereign nation would we be if we didn't respect our own laws?","No"
1,"I believe the person should be sent back to his country because he is an illegal and his native country should handle the problem as far as his deserved punishment.","No"
0,"Persons caught entering the US illegally should be detained and deported to their home country in most cases, as long as they are not participating in criminal activity which would cause any legal US citizen to be imprisoned.  Citizens of foreign countries who are at war or will otherwise be killed in their home countries should be granted political asylum on a case by case basis.","No"
1,"I think this person should go in prison because it's not the first time he commits a crime.Committing a violent crime the time before, he had already shown that he did not deserve hospitality.","Yes"
1,"I feel that entering the US illegally as well as having committed a violent crime means he poses a threat to any citizen he comes in contact. He is a proven criminal. He deserves to be locked up.","Yes"
0,"Since the man had no previous criminal record sending him to prison is unwarranted. The government should deport him.","No"
1,"I don't think the government should put him in prison. I think at worst they should just send him back to his own country unless he is escaping persecution or will be punished when he returns. I don't think  that it's really harming anyone or thing to enter the country illegally, so it shouldn't be punished by time. ","No"
0,"This person is in the country illegally which is already a crime and should be put in prison or deported back home to their country.","Yes"
1,"If he was only convicted of entering the US illegally, then he should be deported. Having been convicted of a violent crime previously should not weigh in on this case if there was no violent crime committed.","No"
1,"He has already served time for his crime. People grow up, and they change. Many people have made their lives here and shouldn't be punished again.","No"
1,"This person should be sent back to prison. The reason I think that is because he had been to prison before so he obviously did not learn.","Yes"
0,"Should be turned over to ICE and deported to his home country. If that involves a short stay in prison so be it but deportation not prison should be the primary goal. If there is a case for refugee status that should be taken into consideration.","No"
1,"The person shouldn't be sent to prison in America. S/he should be deported back to his/her country of citizenship and handed over to the judiciary in that country. The financial/time burden on convicting the person of illegally entering the country would be large.","No"
1,"To begin with, the person is a criminal who has shown he will flaunt the law for his own gain, which is exactly what ALL illegal immigrants are. When you add to that the other criminal charges, this man should be sent out of this country immediately and never allowed to return under penalty of some sort of hard-time prison, such as one where you must perform a LOT of work each day.","Yes"
0,"They should question the man to find out why he was entering the country. If it is determined that he is seeking employment or safety they should take this into consideration. At the most they could send him back but I think it is most likely that he has a positive reason for entering the country and they can help him go through the proper channels to become a citizen.","No"
0,"Although the 27 year old woman endangered others and committed a crime this was her first offense and the prisons are over croweded and often sent to prison too often. In my opinion this woman should be given the option to take a class about driving under the influence and given community service along with a fine.","No"
0,"I feel that our immigration policies are too strict and that we should be more flexible with individuals of other nationalities who would like to enter our country to work. With that said, I would need to have a better idea of why this particular person was entering the US and what he had with him before making a determination. ","Don‰Ûªt Know"
0,"Prison would be too harsh of a sentence for illegal immigration. Maybe sent back to their original country, but not imprisoned.","No"
0,"The illegal immigrant shouldn't be imprisioned but prosecuted and sent back to his own country since its the man first offense and be told if he does it again he will be prosecuted and imprisioned the next time it happens.","No"
1,"I think the government should deport him.  We don't need to pay our taxpayer dollars to support him in our prison.","No"
1,"He should be sent back to his home country. Why should we keep him in our prisons.","No"
1,"He already has a previous record of a violent crime and being illegal is a crime still. He has a chance of committing a crime again.","Yes"
0,"Prison is not going to fix the motivation people have for immigrating. They should be allowed the proper channels to immigrate and be deported if they do not comply.","No"
0,"He was coming here to try and better himself or family. If he was not doing anything then being illegally here i would not want him in jail taking up money and resources that could go to other things to help out the economy.","No"
0,"I believe that the U.S should imprison the man for a minimum of four months before being sent back to their home country. This will hopefully become a determent to those that try to illegally entering the United States","Yes"
0,"Think the person should likely just be deported because he was probably just trying to make a better life for himself. Seems like a waste of our resources to (since housing an inmate is so expensive), so really only benefits people affiliated with the prison industrial complex.","No"
0,"It doesn't seem as though the man poses a threat, so I'm reluctant to say that he deserves to be imprisoned. He did, however, enter the country illegally. When actual citizens break the law, they are sentenced to jail time, so I don't see why it should be any different with others. Also, if I were caught entering another country illegally, I would fully expect to face serious legal consequences.","Don‰Ûªt Know"
1,"This person should be sent to prison because he committed a crime. Once he does his time he should be allowed back in society like other prisoners.","Yes"
1,"Yes, because he is likely to do something similar again. Also, it is illegal to enter the US without going through the proper channels.","Yes"
0,"The key word here is illegally.   If he isn't here legally, he needs to be punished according to the law and not allowed to stay here.   He should try to come here via the legal method, and he wouldnt have to worry about going to jail.  very simple.  ","Yes"
0,"If you put the ones you catch in prison when you catch them maybe less will want to try it. I would hope that would be the result.","Yes"
1,"The offender has more than one past crimes committed. Letting them go free could even endanger other citizens","Yes"
1,"I am favor of just sending him back. Enough wasting tax payers money. Him living in USA prison is actually a higher standard of living than his country. He gets room and food everyday.","Don‰Ûªt Know"
1,"This 28-year-old man should just be deported and not be sent to prison. If he gets sent to prison, it does no good and people tax money will just fund him to stay in there.","No"
1,"I answered yes to the question, but really the person should be deported back to their home country.  This is a previous offender of violent crimes and should not be allowed to continue to be in this country, even in prison. ","Yes"
1,"He has done time for violent crimes. So I don't want him here.","Yes"
1,"Because he entered the United States in a way in which he was not supposed to do so. He could have Google'd ''legal ways to enter the United States'' and could have tried those first.","Yes"
0,"He should be sent to prison for a very short stint to punish him for what he's done, and then given the tools to immigrate legally.","Yes"
1,"The scenario didn't mention whether the person had violated his probation or whether the government has some legal justification for putting him in prison.  My feeling that he should go to prison isn't legally relevant.","No"
1,"This man has already served time for his previous crime. Since other illegal immigrants are not sent to prison for entering illegally, this man should not be unfairly punished for his past crimes (which he already paid for). If he is caught doing illegal violent crimes in America, then he should be rightly punished.","No"
0,"Prison is not the answer. Our prisons are already severely overpopulated and with this being the person first offense, I don't feel prison will improve the situation. A fine and deportation would be more effective.","No"
0,"This person should be sent to prison, but only temporarily until the can be deported. Crime is crime. You've got to pay.","Yes"
0,"This person does not deserve to be punished. Although they did not follow the rules, there should be other options that can help this person rather than sending him to prison.","No"
0,"I don't believe in borders. Give this man a fine and let him be on his way. Unless they have outstanding warrants or are carrying narcotics, who cares? Let them be.","No"
1,"He should be sent to prison because no matter your status if you do the crime you should do the time. People should be held accountable.","Yes"
1,"He had previous offences. That means he's liable to be a repeat offender and commit possibly worse crimes as well as become a threat to society.","Yes"
1,"I do not know the law in this regard.","Don‰Ûªt Know"
0,"She was putting herself and others in danger.  She broke the law.","Yes"
1,"This person have to send back to his country for be back to the country after deportation.  The government has to send back directly to a prison in his country to make sure he is going to stay for a while.","Yes"
1,"He is a known felon illegally entering the USA. Since he had a violent crime on his sheet, he should be deported back to his home country after serving a sentence commiserate with the laws on illegal aliens","Yes"
0,"I would not be okay with my tax dollars being used to feed and house him. He should be deported, but should not be put in prison. ","No"
1,"this man is a repeat offender","Yes"
1,"Instead of going to jail, this person should be deported back to his home country. This can be justified by the fact that he had past infractions, one of them violent. ","No"
1,"Illegally entering the country is a crime. It's long past time for this country to start punishing these people in order to send a message that if you come here illegally, you're going to jail and then you're going to get the boot from the country permanently.","Yes"
1,"I think the offender should be deported back to his home country and not held within a US prison. He should not have to serve jail time in a US prison because of a crime he previously committed. He should just have to go back to the country that he illegally entered from because he has proven himself to be a criminal and had been deported previously as a result.","No"
0,"I dont know what his circumstances are. They should try to go through it as a legal process.","Don‰Ûªt Know"
0,"This is her first offense. She should be taken back to her country.","No"
1,"I think that this person should be jailed for at least a few days and then immediately sent back to his country. He should be jailed for crossing illegally so that the U.S. has a record that he violated the law and that he'd have to face higher penalties if he tries to do this again the future.","Yes"
0,"The Federal Government should deport him to his home country.  While I am fine with allowing an increase in the number of immigrants allowed into this country, I do think that the country should deport those who are caught in the country illegally - or else why even have a law","No"
0,"He should be sent back to his host nation. He shouldn't be able to stay.","No"
1,"Just as this vignette explained, this man """"was convicted"""", so like any other person - illegal or not- he should be subject to the same pusishment for being convicted for whatever crime just like any other person would be punished.","Yes"
0,"Because its not worth the cost. I think they should return him back to his country unless he is seeking status as a refugee.","No"
0,"If he has never commited any other crimes, then he should not be put in prison just for entering the country ilegally. Give him the chance to go through the proper procedures to become a citizen.","No"
1,"He's been to prison before. He's been deported before. He will continue coming back no matter if we deport him or not.","Yes"
1,"This individual is obviously a repeat offender.  He will most likely commit further crimes in the future. He should be deported after serving time.","Yes"
0,"i believe any illegal alien that is caught in the country should be given an opportunity to prove worthiness of being here. if the immigrant can not show a way of being a productive member of our society then they should be deported. if they are willing to become a contributing member of our society and pay taxes like the rest of us than I dont see any reason they shouldn't be allowed to stay.","No"
1,"The person seems not to be a good citizen from his past legal records. Also, the person is in the USA illegally.","Yes"
0,"He should be sent back to his country and given the info that he need to come in to this country the right way","No"
0,"He has not committed any crime that means he is a menace to society and should be behind bars, therefore he should not go to prison. He should be asked to return to his home country and/or be assisted in filing the proper paperwork to enter our country.","No"
0,"He should be deported. We should not waste money keeping him in jail.","No"
1,"Generally, I think the proper punishment here is deportation. However, because he has already snuck into the U.S. multiple times, that punishment will not work. Additionally, because he has previously committed violet crimes, he is a risk to the public. As such, prison seems appropriate.","Yes"
1,"Since the man has engaged in a violent crime before, I feel he should face prison time. He should be deported back to the country he came from as a prisoner. Since he has not learned his lesson from being in prison twice, the US should send him back to his country. If he was not doing violent crimes, I feel he could stay in the country.","Yes"
1,"This man has should be deported back to his country.  The U.S governmental authorities should hand him over to the authorities of his country to handle the issue.","No"
0,"I feel that he should definitely not go to prison because he didn't commit a crime that should be punished by going to prison. I think they should instead deport him back to the country he came from. I don't blame people that want to come to our country. I just think they should do it by going thru the legal process.","No"
1,"As he is not a citizen of the country and entered illegally, he should be extradited back to his country of origin, charged with any applicable crimes. If that is not an option he should definitely be placed into custody, and on serving his sentence he can be extradited. ","No"
0,"If anything, the person should be deported if they illegally entered the country. The government should work with the mother nation and repatriate the person as best possible. Prison time would not be appropriate for this situation.","No"
1,"This person has a significant criminal record and should not be allowed in the United States. His record indicates that he will likely continue his criminal behavior if he were allowed into the country, and this should not happen unless he enters legally. ","Yes"
0,"No harm to a person was done, this person does not appear to be violent. Deport them back to their origin country after submitting their information into a database for future reference.","No"
0,"The person should not be sent to prison because this is not a very serious crime. The person did not hurt anyone so he should just be sent back to his country.","No"
0,"I feel like since it's his first time doing something illegal, I think he should be given a warning. If he does something else, then he would be eligible for jail or prison time. ","No"
1,"Yes he should be sent to prison because he is a repeat offender.  He will probably do more harm than good.","Yes"
0,"He should not go to prison, since he did not commit a crime which harmed another person or harmed property. He doesn't seem to be a danger to others or himself. The U.S. government should deport him back to his home country.","No"
1,"No prison should be necessary as they should be deported.  Just escort this person out of the country and, at least for a while, they will not be the problem of the United States.","Yes"
1,"He has already been a convicted felon, and he continues to break laws. He either needs to be deported to his own country or put in Jail in the United States for breaking the law.","Yes"
1,"He has broken the law before and now he is doing it again. There has to be some sort of penalty for past offenders, especially if their offense was a violent crime. I have no idea how long he should be imprisoned before being deported again.","Yes"
1,"Yes because of his past history and leading up to this incident too. Pasts of people don't always  mean anything but in this case he did something illegal by entering the US and who knows what his intent for that actually was.","Yes"
0,"I think the government should first see how long he has been in the country. If it's less than a year, he should be sent back to his own country. If it's more than a year, the government should see whether he has a job, pays taxes, and is a contributor to the country. The government should also examine whether he was escaping violence or war in his own country. After the government has also the facts, they can decide whether to deport him or grant amnesty. ","No"
0,"First it should be determined if the person has entered the country for reasons of seeking protection from their country of origin. If so, their safety should be considered. If not, the entrance should be recorded and the person should be returned to his home country until such time he can achieve legal entry. ","No"
0,"I his only offense was illegally entering the U.S. I believe that he should be sent back to the country he is a legal citizen of.  I do not believe that prison resources should be spent on him, and I do not think that he should be allowed to stay in the U.S.. ","No"
0,"because he entered the country illegally","Yes"
0,"I believe the offender should be sent to prison for the violation. However, his case should be turned over to immigration authorities for review to determine what steps can be taken for the offender to remain in the United States or be deported back to his home country.","Yes"
1,"First, he entered the country illegally. He seems to be violent. Clearly, he does not respects laws.","Yes"
0,"i think that once in the US, people should only be put in jail if they commit an offense that would send a US citizen to jail.  the reason the man came to the US should be considered, and at most, he should be deported not in jail","No"
0,"All he was doing was doing what people have been doing for the entire history of America, which is try to get to a better country. They should just let him know how he can legally enter in the future and put him back in whatever country he came from.","No"
1,"HE WAS A PREVIOUS OFFENDAR AND TRYING TO ENTER THE US IS ILLEGAL AND HE SHOULD PAY FOR HIS CRIME BECAUSE HE WAS CAUGHT","Yes"
1,"This man should definitely serve time in prison. He has already served sentences for a violent crime and therefore cannot be trusted to not be in prison. However, I also think that after he serves his time here that he should be deported to his country and to remain in prison there. I do not think that he should serve a long sentence here in the U.S. since he would basically gaining benefits from us.","Yes"
1,"They should just pull her over. She could call someone to drive her home and make her take classes.","Don‰Ûªt Know"
0,"He violated the laws of our country. On the other hand, the term of punishment should be small.","Yes"
0,"I think that if the person tries to fight or is disruptive he should be arrested and sent back to his country.  Otherwise if he complies to authorities he should not be arrested but work with him and possibly still send him back to his country.","Don‰Ûªt Know"
1,"by law, he is illegal alien.  He should be in jail and wait for deportation","Yes"
1,"This man should be deported again. He has a history of violent crimes and as such is a danger to the country.","Yes"
1,"I believe it is the law to be sent to prison for illegally re-entering the United States. I would recommend this person serve two years of prison time and be given a fine.","Yes"
0,"Sent to prison or back to his home country. I do not think that illegals should be allowed to enter without the proper documents and be where they are not supposed to be. If they do something wrong, they should be punished","Yes"
1,"The person has already been in trouble. He should go to jail.","Yes"
1,"If this person has been convicted of violent crimes in the past, he should not be put into our prison system he should deported back to his country again.","Don‰Ûªt Know"
0,"The government should send him back to his home country. He can apply therein.","No"
1,"People do not deserve the opportunity to come to the USA who will cause problems for citizens already established here. He needs to be deported, he does not deserve the chance to even sit in a US prison and drain further taxpayer dollars.","No"
0,"He should be given the chance to go through the proper procedures to enter this country.  Many good people come here hoping for a chance at a better life.","No"
0,"The U.S. government should not send him to prison.  They should ask him why he came into the country and what he plans to do.","No"
1,"He should be sent to prison, and then deported back to where ever he came from. Being here illegally is already a crime. But he was deported and then came back. He should be given the maximum allowable sentence and his home country should pay for his incarceration. ","Yes"
1,"He has show a disregard for the laws of our nation and without serving a prison sentence will very likely just come right back to the country upon his inevitable re-deportation. He should serve a minimum sentence of 1 year and upon completion should immediately be deported to his home country (preferably at his own expense if possible). Without consequences for illegally entering the country, people will just come back again.","Yes"
0,"yes  Please describe in at least two sentences what actions if any the U.S. government should take with respect to this perso","Yes"
0,"I think that this person should be sent back to their country.  People should not be in another country illegally.","No"
0,"He should be issued a certain amount of time to come into the country legally. Jail teaches these people nothing, they are just looking for a better life. ","No"
0,"The man is breaking the law. He should go to jail and then deported back to his own country.","Yes"
0,"I don't think this man did anything detrimental enough to society that warranted prison.  I don't see the harm that crossing an artificial border does.","No"
1,"This person should be sent to prison in the country that he was originally from. The U.S. government should not spend anymore time and resources on this person then they already have.","Yes"
1,"This guy should serve some prison time and then be deported. The prison time is to have him think on his crimes and the way that he is living his life. Prison seems a sensible punishment as if he were to be merely deported he would probably return illegally as he had done previously. Serving prison time would show that there is a real, tangible consequence to this action.","Yes"
0,"I have no idea why he entered the country illegal so he shouldn't go to jail, so parole maybe? Find out if he's asylum seeker and go from there.","Don‰Ûªt Know"
1,"He should not be sent to our prison system. He should be deported back to his home country, again. It is cheaper on the system to deport him each time, rather than house him in the prison system, feeding and clothing him. ","No"
0,"Yes, he should be sent to prison and held there until he can be deported back to his country of origin.","Yes"
0,"I believe that instead of incarceration, he should be deported back to the country from which he came. In my opinion, it would cost more to incarcerate him than to deport him. ","No"
1,"The previous record, even while short stints still poses a threat to people he engages with because of his personality. Unless he can provide proof that he is undergoing help, then he should spend time in prison.","Yes"
1,"A criminal act requires a reasonable punishment.  This person needs to do time.","Yes"
1,"The person is a chronic offender.  They need to be sentenced in order to stop the crime or deported back to their country.","Yes"
1,"It depends on if he was attempting to commit or intended to commit another crime. If that's the case than yes he should go to prison. If he is only guilty of entering the country illegally it's possible that he was trying to make a change for the better and shouldn't be more severely punished because of his history.","Don‰Ûªt Know"
1,"Someone who has been deported once already and who has a violent history should serve some time in prison because otherwise there is no real deterrent to crossing the border illegally.","Yes"
1,"He committed a crime. He is a repeat offender.","Yes"
0,"This is a very difficult decision for me. I totally understand trying to better you and your familys' life, I without a doubt would  do the exact same thing in a similar circumstance. I think imprisonment is a harsh sentence but think it might help to slow down illegal immigration. The only reason im for the slow down of illegal immigrants, is because i feel like Californians resources are strained to the maximum and this is unsustainable, we cant just let things collapse. For example we were in a very serious water condition here and with global warming its only going to get worse","Yes"
1,"This offender was previously sentenced for a violent crime, so he should not be allowed to remain in the United States. Since this man served two prior sentences before trying to live in the US, the US government should not allow him in.","Yes"
0,"This person should be sent back to his country of origin and told not to enter again unless through the proper channels for immigrants.  He should not serve time in a US prison because that would just be spending tax payer money to keep someone alive who is not our responsibility to take care of.  He should go back to his country.","No"
0,"I don't think it makes sense to put him in prison. It will simply cost us money. Possibly deport him depending on his status","No"
1,"This person should be deported to the home country, not imprisoned in the US. If this person had entered the US illegally, and committed a violent crime, it would have been appropriate to send this person to a US prison.  But this person's only current crime is illegally entering the US, so deportation is the appropriate penalty. ","No"
0,"This is not a violent crime and does not hurt anyone. At most, he should be deported back to his own country. However, I feel that he should be given the opportunity to obtain a legal visa and remain in the country. ","No"
1,"The prisoner had previously been deported because of a violent crime, he illegally re-entered the US.  If his reentry did not involve any type of human trafficking or drug smuggling he should just be expedited removal out of the USA.  He already has a previous order of removal so he should just be removed again. ","Yes"
1,"Re-entering the country unlawfully after previously being deported is a federal crime. I'm torn on the prison part, though, because then we are just spending more money on maintaining that person in this country, so I'm torn between prison time and just being deported with no way of re-entering again legally. We have laws that should be followed and every person who disregards the federal immigration law is a slap in the face to those who have followed the rules and worked hard to be here in a legal way.","Yes"
0,"Deportation is preferable than prison, but if we had some kind of grace period for him to become a citizen and accomplish things like, a job, home, and no conviction record. Our legislature should enact a amnesty period of all illegal and undocumented , giving a time frame to meet conditions, and then start on enforcing the laws that are in place but have been ignored, for all new immigrants. ","No"
1,"Because he is not obeying the laws of this country. If he remains on the street or given probation, he will continue to reoffend. ","Yes"
0,"They shouldn't be sent to prison for a 1st offense.  They should be put in jail, processed and sent back to their country.  It is ILLEGAL to enter the United States.  They committed a crime and should suffer consequences like everyone else.","No"
1,"He entered here illegally, which is a crime. If he had been a citizen breaking the law again he would be sent to prison. He should not have more rights than a legal citizen would have.","Yes"
0,"I don'r believe this offemse requires being arrested. If they attempt it again or had reacted with violence then i could see that warranting an arrest","No"
1,"As he has already served two prison sentences, one for a violent crime, he is a repeat offender.  He returned AFTER being deported so odds are if he is deported again he will just return.  Sending him to prison will at the very least, delay him from returning and, hopefully, get him to turn his life around.","Yes"
0,"I do not think he should be imprisioned, he should be sent back to his county. If we imprison him it's the tax payer paying for him and I do not think that is right.","No"
0,"because he came illegally entering the united states.. he want to know his mistakes","Yes"
1,"No matter your legal status if you do something wrong you should be punished. People have to pay for their crimes.","Yes"
1,"Yes, because he already has been deported once from a violent crime. We should not allow anyone with a criminal history to remain here illegally.","Yes"
0,"He isn't a criminal and just wants to enter the US. The government should just send him back to his country.","No"
1,"He may have prior offenses, but I'm not sure if just throwing him in prison again will make much of a difference. He should be deported again. ","Don‰Ûªt Know"
0,"I don't think we should have to pay to house him for such a crime.  He should either apply to stay or be deported.","No"
0,"Sending him to prison is a waste of tax payer money. If he is here illegally then he should be deported.","No"
0,"He didn't do anything to harm others and doesn't seem like a danger to others. He should not be imprisoned.","No"
1,"The man is a violent offender and is a risk to other citizens. He has committed more than one crime that landed him in jail. He should be sent back to his home country and be banned from the US and US territories, tax payer money should not be used to house him in jail.","Yes"
1,"Violent criminals have no real place in society, or at least most of them don't. However, they can be reformed. I think that the government should consider deporting him due to his violent history, and because he entered the country illegally.","Yes"
0,"Someone who enters the US illegally should be returned to their country, not imprisoned in the US. He poses no threat to society.","No"
1,"that would be a waste of tax payer money. pls just deport him","No"
0,"I don't think a person should be put in jail because he came into this country illegally because he should be able to find a home here. My feeling is that we should welcome everyone and so it should not be a crime to come to this country. The US government should not take any action.","No"
0,"Seems like the best choice would be to just deport them. I think they may not try again.","No"
0,"I think he should be required to pay a fine. If he does not then follow legal measures to be in the country he should be deported.","No"
0,"I do not believe entering the United States illegally should be allowed. However, imprisoning the person just means that we will be spending money from the government to hold the person in prison. Instead, the person should likely just be deported.","No"
1,"He should be sent back to his country instead of back into prison. We shouldn't waste money on sending him back to prison within our own country.","No"
0,"He should be fined, but not imprisoned. His being here was wrong but did not hurt anyone and he is not a danger to society.","No"
0,"I don't believe he should be sent to prison. That's extreme for doing something that isn't directly doing harm to anybody.","No"
0,"I believe that if the man is in good standing and pays taxes, he should be given a path to citizenship.  He has not committed any other crimes and the United States should help him become a hard working, law abiding citizen of the country.","No"
1,"This is a repeat violent felon who has illegally entered the US.He should be sent to prison, preferably with a sentence of hard labor","Yes"
1,"This man is dangerous and does not respect our laws, they can't keep him out so put him in prison you can control him there.","Yes"
1,"I think this person should be sent back to their home country. If that's not an option, I would think given the information above, prison should probably be the option. ","Don‰Ûªt Know"
1,"I believe as a repeat offender he should be deported back,especially as he was arrested for a dangerous crime previously. We should not house him in our prisons we he will be fed and be able to have access to learning.","No"
1,"He should be sent to prison and deported again. The nature of one of his crimes, being violent, support that proposed action. ","Yes"
1,"HE should be deported back home. Also, he should have no way to re-enter the country due to this","No"
1,"nice in my life is good","Yes"
1,"The man should not be sent to prison, but I believe he should be sent back to his home country. He already has experienced legal troubles and can be violent at times. ","No"
1,"I have no problems with immigrants, including illegals UNLESS they have a violent past.","Yes"
0,"It is against the law to enter the country without regard to visa requirements. He could ask for asylum if it applies otherwise he is breaking the law and should be deported.","Yes"
1,"Re-entering the country after deportation is a federal felony,","Yes"
1,"He was illegally entering our country and therefore should be punished for it. He has previous offenses. He will probably commit another crime in his life so go ahead and put him in prison.","Yes"
1,"If this offender has entered the country illegally and he has previous arrests, he should be deported.  Since he has already served his time in prison for the previous offenses, all that should be done is to send him back to his country.","Yes"
0,"I don't believe that entering the country illegally is an offense that necessarily warrants arrest. Such cases should be examined on a case by case basis, and people should be considered for visas based on their individual merits. In this case, the person had never been incarcerated, so I don't think it would be fair to imprison him now. ","No"
0,"I think that a prison sentence for illegally entering the USA is way too much of a punishment. Send him back to his own country.  The prisons are over crowded as it is.","No"
0,"He should be detained until which time it is easiest to send him back to what ever country he came from, assuming it is safe to do so. There is no reason to imprison him in our country for trying to seek a life here.","No"
0,"He has no criminal history, and the criminal offense did not endanger others.  He should be deported and barred from reentering the US for a specific time period.  This country has an immigration system in place for a reason, and people need to start learning that they will not benefit from circumventing that system.","No"
0,"I think he shouldn't be sent to prison because A, he has no previous record and B, and more importantly, he committed no serious (or violent) offense here. He was most likely just looking for a better life which we would do also if put in the same situation. I can't really think of a punishment though some kind of deterrent should be in place. I don't agree with prison and I don't see them fining him (he probably doesn't have any money anyway), so maybe banning him from ever entering the country? But that seems a little harsh. So I'm not sure on the punishment but there should be one of some kind.","No"
0,"Prison is not the answer for this crime.  There needs to be either a path to citizenship or deportation.","No"
0,"The law states that what he dis was illegal. Because he has broken the law he should go to jail just like anyone who has broken the law should.","Yes"
1,"He is a law breaker in THIS country, first and foremost. He is also a law breaker in his own country.","Yes"
0,"Why fill up our prisons with people who are here illegally, especially with no other offenses. Deport him to his country. (I know he's probably going to try and enter the US again down the road)","No"
0,"The punishment doesn't fit the crime. If they were going to punish him they could deport him, but he does not need to be treated poorly.","No"
